carat,cut,color,clarity,depth,table,price,x,y,z,carat_encoded,cut_encoded,color_encoded,clarity_encoded,price_transformed
0.23,Ideal,E,SI2,61.5,55.0,326,3.95,3.98,2.43,1,5,6,2,4.796051449388448
0.21,Premium,E,SI1,59.8,61.0,326,3.89,3.84,2.31,1,4,6,3,4.796051449388448
0.23,Good,E,VS1,56.9,65.0,327,4.05,4.07,2.31,1,2,6,5,4.798128767550591
0.29,Premium,I,VS2,62.4,58.0,334,4.2,4.23,2.63,1,4,2,4,4.81248285572987
0.31,Good,J,SI2,63.3,58.0,335,4.34,4.35,2.75,1,2,1,2,4.8145072025872
0.24,Very Good,J,VVS2,62.8,57.0,336,3.94,3.96,2.48,1,3,1,6,4.816525111550503
0.24,Very Good,I,VVS1,62.3,57.0,336,3.95,3.98,2.47,1,3,2,7,4.816525111550503
0.26,Very Good,H,SI1,61.9,55.0,337,4.07,4.11,2.53,1,3,3,3,4.8185366221630135
0.22,Fair,E,VS2,65.1,61.0,337,3.87,3.78,2.49,1,1,6,4,4.8185366221630135
0.23,Very Good,H,VS1,59.4,61.0,338,4.0,4.05,2.39,1,3,3,5,4.820541773608657
0.3,Good,J,SI1,64.0,55.0,339,4.25,4.28,2.73,1,2,1,3,4.822540604716347
0.23,Ideal,J,VS1,62.8,56.0,340,3.93,3.9,2.46,1,5,1,5,4.824533153964253
0.22,Premium,F,SI1,60.4,61.0,342,3.88,3.84,2.33,1,4,5,3,4.828499559064701
0.31,Ideal,J,SI2,62.2,54.0,344,4.35,4.37,2.71,1,5,1,2,4.832441289877975
0.2,Premium,E,SI2,60.2,62.0,345,3.79,3.75,2.27,1,4,6,2,4.834402995013
0.32,Premium,E,I1,60.9,58.0,345,4.38,4.42,2.68,1,4,6,1,4.834402995013
0.3,Ideal,I,SI2,62.0,54.0,348,4.31,4.34,2.68,1,5,2,2,4.840251905888971
0.3,Good,J,SI1,63.4,54.0,351,4.23,4.29,2.7,1,2,1,3,4.846047258876099
0.3,Good,J,SI1,63.8,56.0,351,4.23,4.26,2.71,1,2,1,3,4.846047258876099
0.3,Very Good,J,SI1,62.7,59.0,351,4.21,4.27,2.66,1,3,1,3,4.846047258876099
0.3,Good,I,SI2,63.3,56.0,351,4.26,4.3,2.71,1,2,2,2,4.846047258876099
0.23,Very Good,E,VS2,63.8,55.0,352,3.85,3.92,2.48,1,3,6,4,4.847967304967425
0.23,Very Good,H,VS1,61.0,57.0,353,3.94,3.96,2.41,1,3,3,5,4.84988153932128
0.31,Very Good,J,SI1,59.4,62.0,353,4.39,4.43,2.62,1,3,1,3,4.84988153932128
0.31,Very Good,J,SI1,58.1,62.0,353,4.44,4.47,2.59,1,3,1,3,4.84988153932128
0.23,Very Good,G,VVS2,60.4,58.0,354,3.97,4.01,2.41,1,3,4,6,4.851789995918338
0.24,Premium,I,VS1,62.5,57.0,355,3.97,3.94,2.47,1,4,2,5,4.8536927084453145
0.3,Very Good,J,VS2,62.2,57.0,357,4.28,4.3,2.67,1,3,1,4,4.857481034586148
0.23,Very Good,D,VS2,60.5,61.0,357,3.96,3.97,2.4,1,3,7,4,4.857481034586148
0.23,Very Good,F,VS1,60.9,57.0,357,3.96,3.99,2.42,1,3,5,5,4.857481034586148
0.23,Very Good,F,VS1,60.0,57.0,402,4.0,4.03,2.41,1,3,5,5,4.937200952743975
0.23,Very Good,F,VS1,59.8,57.0,402,4.04,4.06,2.42,1,3,5,5,4.937200952743975
0.23,Very Good,E,VS1,60.7,59.0,402,3.97,4.01,2.42,1,3,6,5,4.937200952743975
0.23,Very Good,E,VS1,59.5,58.0,402,4.01,4.06,2.4,1,3,6,5,4.937200952743975
0.23,Very Good,D,VS1,61.9,58.0,402,3.92,3.96,2.44,1,3,7,5,4.937200952743975
0.23,Good,F,VS1,58.2,59.0,402,4.06,4.08,2.37,1,2,5,5,4.937200952743975
0.23,Good,E,VS1,64.1,59.0,402,3.83,3.85,2.46,1,2,6,5,4.937200952743975
0.31,Good,H,SI1,64.0,54.0,402,4.29,4.31,2.75,1,2,3,3,4.937200952743975
0.26,Very Good,D,VS2,60.8,59.0,403,4.13,4.16,2.52,1,3,7,4,4.938862544765926
0.33,Ideal,I,SI2,61.8,55.0,403,4.49,4.51,2.78,1,5,2,2,4.938862544765926
0.33,Ideal,I,SI2,61.2,56.0,403,4.49,4.5,2.75,1,5,2,2,4.938862544765926
0.33,Ideal,J,SI1,61.1,56.0,403,4.49,4.55,2.76,1,5,1,3,4.938862544765926
0.26,Good,D,VS2,65.2,56.0,403,3.99,4.02,2.61,1,2,7,4,4.938862544765926
0.26,Good,D,VS1,58.4,63.0,403,4.19,4.24,2.46,1,2,7,5,4.938862544765926
0.32,Good,H,SI2,63.1,56.0,403,4.34,4.37,2.75,1,2,3,2,4.938862544765926
0.29,Premium,F,SI1,62.4,58.0,403,4.24,4.26,2.65,1,4,5,3,4.938862544765926
0.32,Very Good,H,SI2,61.8,55.0,403,4.35,4.42,2.71,1,3,3,2,4.938862544765926
0.32,Good,H,SI2,63.8,56.0,403,4.36,4.38,2.79,1,2,3,2,4.938862544765926
0.25,Very Good,E,VS2,63.3,60.0,404,4.0,4.03,2.54,1,3,6,4,4.940519742996795
0.29,Very Good,H,SI2,60.7,60.0,404,4.33,4.37,2.64,1,3,3,2,4.940519742996795
0.24,Very Good,F,SI1,60.9,61.0,404,4.02,4.03,2.45,1,3,5,3,4.940519742996795
0.23,Ideal,G,VS1,61.9,54.0,404,3.93,3.95,2.44,1,5,4,5,4.940519742996795
0.32,Ideal,I,SI1,60.9,55.0,404,4.45,4.48,2.72,1,5,2,3,4.940519742996795
0.22,Premium,E,VS2,61.6,58.0,404,3.93,3.89,2.41,1,4,6,4,4.940519742996795
0.22,Premium,D,VS2,59.3,62.0,404,3.91,3.88,2.31,1,4,7,4,4.940519742996795
0.3,Ideal,I,SI2,61.0,59.0,405,4.3,4.33,2.63,1,5,2,2,4.9421725698878705
0.3,Premium,J,SI2,59.3,61.0,405,4.43,4.38,2.61,1,4,1,2,4.9421725698878705
0.3,Very Good,I,SI1,62.6,57.0,405,4.25,4.28,2.67,1,3,2,3,4.9421725698878705
0.3,Very Good,I,SI1,63.0,57.0,405,4.28,4.32,2.71,1,3,2,3,4.9421725698878705
0.3,Good,I,SI1,63.2,55.0,405,4.25,4.29,2.7,1,2,2,3,4.9421725698878705
0.35,Ideal,I,VS1,60.9,57.0,552,4.54,4.59,2.78,1,5,2,5,5.147049859020521
0.3,Premium,D,SI1,62.6,59.0,552,4.23,4.27,2.66,1,4,7,3,5.147049859020521
0.3,Ideal,D,SI1,62.5,57.0,552,4.29,4.32,2.69,1,5,7,3,5.147049859020521
0.3,Ideal,D,SI1,62.1,56.0,552,4.3,4.33,2.68,1,5,7,3,5.147049859020521
0.42,Premium,I,SI2,61.5,59.0,552,4.78,4.84,2.96,1,4,2,2,5.147049859020521
0.28,Ideal,G,VVS2,61.4,56.0,553,4.19,4.22,2.58,1,5,4,6,5.148234893175023
0.32,Ideal,I,VVS1,62.0,55.3,553,4.39,4.42,2.73,1,5,2,7,5.148234893175023
0.31,Very Good,G,SI1,63.3,57.0,553,4.33,4.3,2.73,1,3,4,3,5.148234893175023
0.31,Premium,G,SI1,61.8,58.0,553,4.35,4.32,2.68,1,4,4,3,5.148234893175023
0.24,Premium,E,VVS1,60.7,58.0,553,4.01,4.03,2.44,1,4,6,7,5.148234893175023
0.24,Very Good,D,VVS1,61.5,60.0,553,3.97,4.0,2.45,1,3,7,7,5.148234893175023
0.3,Very Good,H,SI1,63.1,56.0,554,4.29,4.27,2.7,1,3,3,3,5.149417642881052
0.3,Premium,H,SI1,62.9,59.0,554,4.28,4.24,2.68,1,4,3,3,5.149417642881052
0.3,Premium,H,SI1,62.5,57.0,554,4.29,4.25,2.67,1,4,3,3,5.149417642881052
0.3,Good,H,SI1,63.7,57.0,554,4.28,4.26,2.72,1,2,3,3,5.149417642881052
0.26,Very Good,F,VVS2,59.2,60.0,554,4.19,4.22,2.49,1,3,5,6,5.149417642881052
0.26,Very Good,E,VVS2,59.9,58.0,554,4.15,4.23,2.51,1,3,6,6,5.149417642881052
0.26,Very Good,D,VVS2,62.4,54.0,554,4.08,4.13,2.56,1,3,7,6,5.149417642881052
0.26,Very Good,D,VVS2,62.8,60.0,554,4.01,4.05,2.53,1,3,7,6,5.149417642881052
0.26,Very Good,E,VVS1,62.6,59.0,554,4.06,4.09,2.55,1,3,6,7,5.149417642881052
0.26,Very Good,E,VVS1,63.4,59.0,554,4.0,4.04,2.55,1,3,6,7,5.149417642881052
0.26,Very Good,D,VVS1,62.1,60.0,554,4.03,4.12,2.53,1,3,7,7,5.149417642881052
0.26,Ideal,E,VVS2,62.9,58.0,554,4.02,4.06,2.54,1,5,6,6,5.149417642881052
0.38,Ideal,I,SI2,61.6,56.0,554,4.65,4.67,2.87,1,5,2,2,5.149417642881052
0.26,Good,E,VVS1,57.9,60.0,554,4.22,4.25,2.45,1,2,6,7,5.149417642881052
0.24,Premium,G,VVS1,62.3,59.0,554,3.95,3.92,2.45,1,4,4,7,5.149417642881052
0.24,Premium,H,VVS1,61.2,58.0,554,4.01,3.96,2.44,1,4,3,7,5.149417642881052
0.24,Premium,H,VVS1,60.8,59.0,554,4.02,4.0,2.44,1,4,3,7,5.149417642881052
0.24,Premium,H,VVS2,60.7,58.0,554,4.07,4.04,2.46,1,4,3,6,5.149417642881052
0.32,Premium,I,SI1,62.9,58.0,554,4.35,4.33,2.73,1,4,2,3,5.149417642881052
0.7,Ideal,E,SI1,62.5,57.0,2757,5.7,5.72,3.57,3,5,6,3,6.145336792231051
0.86,Fair,E,SI2,55.1,69.0,2757,6.45,6.33,3.52,3,1,6,2,6.145336792231051
0.7,Ideal,G,VS2,61.6,56.0,2757,5.7,5.67,3.5,3,5,4,4,6.145336792231051
0.71,Very Good,E,VS2,62.4,57.0,2759,5.68,5.73,3.56,3,3,6,4,6.145763041958072
0.78,Very Good,G,SI2,63.8,56.0,2759,5.81,5.85,3.72,3,3,4,2,6.145763041958072
0.7,Good,E,VS2,57.5,58.0,2759,5.85,5.9,3.38,3,2,6,4,6.145763041958072
0.7,Good,F,VS1,59.4,62.0,2759,5.71,5.76,3.4,3,2,5,5,6.145763041958072
0.96,Fair,F,SI2,66.3,62.0,2759,6.27,5.95,4.07,3,1,5,2,6.145763041958072
0.73,Very Good,E,SI1,61.6,59.0,2760,5.77,5.78,3.56,3,3,6,3,6.145976043195984
0.8,Premium,H,SI1,61.5,58.0,2760,5.97,5.93,3.66,3,4,3,3,6.145976043195984
0.75,Very Good,D,SI1,63.2,56.0,2760,5.8,5.75,3.65,3,3,7,3,6.145976043195984
0.75,Premium,E,SI1,59.9,54.0,2760,6.0,5.96,3.58,3,4,6,3,6.145976043195984
0.74,Ideal,G,SI1,61.6,55.0,2760,5.8,5.85,3.59,3,5,4,3,6.145976043195984
0.75,Premium,G,VS2,61.7,58.0,2760,5.85,5.79,3.59,3,4,4,4,6.145976043195984
0.8,Ideal,I,VS1,62.9,56.0,2760,5.94,5.87,3.72,3,5,2,5,6.145976043195984
0.75,Ideal,G,SI1,62.2,55.0,2760,5.87,5.8,3.63,3,5,4,3,6.145976043195984
0.8,Premium,G,SI1,63.0,59.0,2760,5.9,5.81,3.69,3,4,4,3,6.145976043195984
0.74,Ideal,I,VVS2,62.3,55.0,2761,5.77,5.81,3.61,3,5,2,6,6.146188962099121
0.81,Ideal,F,SI2,58.8,57.0,2761,6.14,6.11,3.6,3,5,5,2,6.146188962099121
0.59,Ideal,E,VVS2,62.0,55.0,2761,5.38,5.43,3.35,2,5,6,6,6.146188962099121
0.8,Ideal,F,SI2,61.4,57.0,2761,5.96,6.0,3.67,3,5,5,2,6.146188962099121
0.74,Ideal,E,SI2,62.2,56.0,2761,5.8,5.84,3.62,3,5,6,2,6.146188962099121
0.9,Premium,I,VS2,63.0,58.0,2761,6.16,6.12,3.87,3,4,2,4,6.146188962099121
0.74,Very Good,G,SI1,62.2,59.0,2762,5.73,5.82,3.59,3,3,4,3,6.146401798729107
0.73,Ideal,F,VS2,62.6,56.0,2762,5.77,5.74,3.6,3,5,5,4,6.146401798729107
0.73,Ideal,F,VS2,62.7,53.0,2762,5.8,5.75,3.62,3,5,5,4,6.146401798729107
0.8,Premium,F,SI2,61.7,58.0,2762,5.98,5.94,3.68,3,4,5,2,6.146401798729107
0.71,Ideal,G,VS2,62.4,54.0,2762,5.72,5.76,3.58,3,5,4,4,6.146401798729107
0.7,Ideal,E,VS2,60.7,58.0,2762,5.73,5.76,3.49,3,5,6,4,6.146401798729107
0.8,Ideal,F,SI2,59.9,59.0,2762,6.01,6.07,3.62,3,5,5,2,6.146401798729107
0.71,Ideal,D,SI2,62.3,56.0,2762,5.73,5.69,3.56,3,5,7,2,6.146401798729107
0.74,Ideal,E,SI1,62.3,54.0,2762,5.8,5.83,3.62,3,5,6,3,6.146401798729107
0.7,Very Good,F,VS2,61.7,63.0,2762,5.64,5.61,3.47,3,3,5,4,6.146401798729107
0.7,Fair,F,VS2,64.5,57.0,2762,5.57,5.53,3.58,3,1,5,4,6.146401798729107
0.7,Fair,F,VS2,65.3,55.0,2762,5.63,5.58,3.66,3,1,5,4,6.146401798729107
0.7,Premium,F,VS2,61.6,60.0,2762,5.65,5.59,3.46,3,4,5,4,6.146401798729107
0.91,Premium,H,SI1,61.4,56.0,2763,6.09,5.97,3.7,3,4,3,3,6.146614553147505
0.61,Very Good,D,VVS2,59.6,57.0,2763,5.56,5.58,3.32,2,3,7,6,6.146614553147505
0.91,Fair,H,SI2,64.4,57.0,2763,6.11,6.09,3.93,3,1,3,2,6.146614553147505
0.91,Fair,H,SI2,65.7,60.0,2763,6.03,5.99,3.95,3,1,3,2,6.146614553147505
0.77,Ideal,H,VS2,62.0,56.0,2763,5.89,5.86,3.64,3,5,3,4,6.146614553147505
0.71,Very Good,D,SI1,63.6,58.0,2764,5.64,5.68,3.6,3,3,7,3,6.146827225415811
0.71,Ideal,D,SI1,61.9,59.0,2764,5.69,5.72,3.53,3,5,7,3,6.146827225415811
0.7,Very Good,E,VS2,62.6,60.0,2765,5.62,5.65,3.53,3,3,6,4,6.147039815595447
0.77,Very Good,H,VS1,61.3,60.0,2765,5.88,5.9,3.61,3,3,3,5,6.147039815595447
0.63,Premium,E,VVS1,60.9,60.0,2765,5.52,5.55,3.37,2,4,6,7,6.147039815595447
0.71,Very Good,F,VS1,60.1,62.0,2765,5.74,5.77,3.46,3,3,5,5,6.147039815595447
0.71,Premium,F,VS1,61.8,59.0,2765,5.69,5.73,3.53,3,4,5,5,6.147039815595447
0.76,Ideal,H,SI1,61.2,57.0,2765,5.88,5.91,3.61,3,5,3,3,6.147039815595447
0.64,Ideal,G,VVS1,61.9,56.0,2766,5.53,5.56,3.43,2,5,4,7,6.147252323747768
0.71,Premium,G,VS2,60.9,57.0,2766,5.78,5.75,3.51,3,4,4,4,6.147252323747768
0.71,Premium,G,VS2,59.8,56.0,2766,5.89,5.81,3.5,3,4,4,4,6.147252323747768
0.7,Very Good,D,VS2,61.8,55.0,2767,5.68,5.72,3.52,3,3,7,4,6.147464749934064
0.7,Very Good,F,VS1,60.0,57.0,2767,5.8,5.87,3.5,3,3,5,5,6.147464749934064
0.71,Ideal,D,SI2,61.6,55.0,2767,5.74,5.76,3.54,3,5,7,2,6.147464749934064
0.7,Good,H,VVS2,62.1,64.0,2767,5.62,5.65,3.5,3,2,3,6,6.147464749934064
0.71,Very Good,G,VS1,63.3,59.0,2768,5.52,5.61,3.52,3,3,4,5,6.147677094215556
0.73,Very Good,D,SI1,60.2,56.0,2768,5.83,5.87,3.52,3,3,7,3,6.147677094215556
0.7,Very Good,D,SI1,61.1,58.0,2768,5.66,5.73,3.48,3,3,7,3,6.147677094215556
0.7,Ideal,E,SI1,60.9,57.0,2768,5.73,5.76,3.5,3,5,6,3,6.147677094215556
0.71,Premium,D,SI2,61.7,59.0,2768,5.71,5.67,3.51,3,4,7,2,6.147677094215556
0.74,Ideal,I,SI1,61.3,56.0,2769,5.82,5.86,3.57,3,5,2,3,6.147889356653396
0.71,Premium,D,VS2,62.5,60.0,2770,5.65,5.61,3.52,3,4,7,4,6.14810153730867
0.73,Premium,G,VS2,61.4,59.0,2770,5.83,5.76,3.56,3,4,4,4,6.14810153730867
0.76,Very Good,F,SI1,62.9,57.0,2770,5.79,5.81,3.65,3,3,5,3,6.14810153730867
0.76,Ideal,D,SI2,62.4,57.0,2770,5.78,5.83,3.62,3,5,7,2,6.14810153730867
0.71,Ideal,F,SI1,60.7,56.0,2770,5.77,5.8,3.51,3,5,5,3,6.14810153730867
0.73,Premium,G,VS2,60.7,58.0,2770,5.87,5.82,3.55,3,4,4,4,6.14810153730867
0.73,Premium,G,VS1,61.5,58.0,2770,5.79,5.75,3.55,3,4,4,5,6.14810153730867
0.73,Ideal,D,SI2,59.9,57.0,2770,5.92,5.89,3.54,3,5,7,2,6.14810153730867
0.73,Premium,G,VS2,59.2,59.0,2770,5.92,5.87,3.49,3,4,4,4,6.14810153730867
0.72,Very Good,H,VVS2,60.3,56.0,2771,5.81,5.83,3.51,3,3,3,6,6.148313636242392
0.73,Very Good,F,SI1,61.7,60.0,2771,5.79,5.82,3.58,3,3,5,3,6.148313636242392
0.71,Ideal,G,VS2,61.9,57.0,2771,5.73,5.77,3.56,3,5,4,4,6.148313636242392
0.79,Ideal,F,SI2,61.9,55.0,2771,5.97,5.92,3.68,3,5,5,2,6.148313636242392
0.73,Very Good,H,VVS1,60.4,59.0,2772,5.83,5.89,3.54,3,3,3,7,6.148525653515516
0.8,Very Good,F,SI2,61.0,57.0,2772,6.01,6.03,3.67,3,3,5,2,6.148525653515516
0.58,Ideal,G,VVS1,61.5,55.0,2772,5.39,5.44,3.33,2,5,4,7,6.148525653515516
0.58,Ideal,F,VVS1,61.7,56.0,2772,5.33,5.37,3.3,2,5,5,7,6.148525653515516
0.71,Good,E,VS2,59.2,61.0,2772,5.8,5.88,3.46,3,2,6,4,6.148525653515516
0.75,Ideal,D,SI2,61.3,56.0,2773,5.85,5.89,3.6,3,5,7,2,6.148737589188922
0.7,Premium,D,VS2,58.0,62.0,2773,5.87,5.78,3.38,3,4,7,4,6.148737589188922
1.17,Very Good,J,I1,60.2,61.0,2774,6.83,6.9,4.13,3,3,1,1,6.148949443323425
0.6,Ideal,E,VS1,61.7,55.0,2774,5.41,5.44,3.35,2,5,6,5,6.148949443323425
0.7,Ideal,E,SI1,62.7,55.0,2774,5.68,5.74,3.58,3,5,6,3,6.148949443323425
0.83,Good,I,VS2,64.6,54.0,2774,5.85,5.88,3.79,3,2,2,4,6.148949443323425
0.74,Very Good,F,VS2,61.3,61.0,2775,5.8,5.84,3.57,3,3,5,4,6.149161215979774
0.72,Very Good,G,VS2,63.7,56.4,2776,5.62,5.69,3.61,3,3,4,4,6.14937290721865
0.71,Premium,E,VS2,62.7,58.0,2776,5.74,5.68,3.58,3,4,6,4,6.14937290721865
0.71,Ideal,E,VS2,62.2,57.0,2776,5.79,5.62,3.55,3,5,6,4,6.14937290721865
0.54,Ideal,E,VVS2,61.6,56.0,2776,5.25,5.27,3.24,2,5,6,6,6.14937290721865
0.54,Ideal,E,VVS2,61.5,57.0,2776,5.24,5.26,3.23,2,5,6,6,6.14937290721865
0.72,Ideal,G,SI1,61.8,56.0,2776,5.72,5.75,3.55,3,5,4,3,6.14937290721865
0.72,Ideal,G,SI1,60.7,56.0,2776,5.79,5.82,3.53,3,5,4,3,6.14937290721865
0.72,Good,G,VS2,59.7,60.5,2776,5.8,5.84,3.47,3,2,4,4,6.14937290721865
0.71,Ideal,G,SI1,60.5,56.0,2776,5.8,5.76,3.5,3,5,4,3,6.14937290721865
0.7,Very Good,D,VS1,62.7,58.0,2777,5.66,5.73,3.57,3,3,7,5,6.149584517100665
0.71,Premium,F,VS2,62.1,58.0,2777,5.67,5.7,3.53,3,4,5,4,6.149584517100665
0.71,Very Good,F,VS2,62.8,57.0,2777,5.64,5.69,3.56,3,3,5,4,6.149584517100665
0.71,Good,F,VS2,63.8,58.0,2777,5.61,5.64,3.59,3,2,5,4,6.149584517100665
0.71,Good,F,VS2,57.8,60.0,2777,5.87,5.9,3.4,3,2,5,4,6.149584517100665
0.7,Ideal,E,VS2,62.1,55.0,2777,5.7,5.67,3.53,3,5,6,4,6.149584517100665
0.7,Premium,E,VS2,61.1,60.0,2777,5.71,5.64,3.47,3,4,6,4,6.149584517100665
0.7,Premium,E,SI1,60.0,59.0,2777,5.79,5.75,3.46,3,4,6,3,6.149584517100665
0.7,Premium,E,SI1,61.2,57.0,2777,5.73,5.68,3.49,3,4,6,3,6.149584517100665
0.7,Premium,E,SI1,62.7,59.0,2777,5.67,5.63,3.54,3,4,6,3,6.149584517100665
0.7,Premium,E,SI1,61.0,57.0,2777,5.73,5.68,3.48,3,4,6,3,6.149584517100665
0.7,Premium,E,SI1,61.0,58.0,2777,5.78,5.72,3.51,3,4,6,3,6.149584517100665
0.7,Ideal,E,SI1,61.4,57.0,2777,5.76,5.7,3.52,3,5,6,3,6.149584517100665
0.72,Premium,F,SI1,61.8,61.0,2777,5.82,5.71,3.56,3,4,5,3,6.149584517100665
0.7,Very Good,E,SI1,59.9,63.0,2777,5.76,5.7,3.43,3,3,6,3,6.149584517100665
0.7,Premium,E,SI1,61.3,58.0,2777,5.71,5.68,3.49,3,4,6,3,6.149584517100665
0.7,Premium,E,SI1,60.5,58.0,2777,5.77,5.74,3.48,3,4,6,3,6.149584517100665
0.7,Good,E,VS2,64.1,59.0,2777,5.64,5.59,3.6,3,2,6,4,6.149584517100665
0.98,Fair,H,SI2,67.9,60.0,2777,6.05,5.97,4.08,3,1,3,2,6.149584517100665
0.78,Premium,F,SI1,62.4,58.0,2777,5.83,5.8,3.63,3,4,5,3,6.149584517100665
0.7,Very Good,E,SI1,63.2,60.0,2777,5.6,5.51,3.51,3,3,6,3,6.149584517100665
0.52,Ideal,F,VVS1,61.3,55.0,2778,5.19,5.22,3.19,2,5,5,7,6.149796045686366
0.73,Very Good,H,VS2,60.8,56.0,2779,5.82,5.84,3.55,3,3,3,4,6.150007493036235
0.74,Ideal,E,SI1,61.7,56.0,2779,5.84,5.8,3.59,3,5,6,3,6.150007493036235
0.7,Very Good,F,VS2,63.6,57.0,2780,5.61,5.65,3.58,3,3,5,4,6.150218859210683
0.77,Premium,G,VS2,61.2,58.0,2780,5.9,5.93,3.62,3,4,4,4,6.150218859210683
0.71,Ideal,F,VS2,62.1,54.0,2780,5.68,5.72,3.54,3,5,5,4,6.150218859210683
0.74,Ideal,G,VS1,61.5,55.0,2780,5.81,5.86,3.59,3,5,4,5,6.150218859210683
0.7,Ideal,G,VS1,61.4,59.0,2780,5.64,5.73,3.49,3,5,4,5,6.150218859210683
1.01,Premium,F,I1,61.8,60.0,2781,6.39,6.36,3.94,3,4,5,1,6.150430144270056
0.77,Ideal,H,SI1,62.2,56.0,2781,5.83,5.88,3.64,3,5,3,3,6.150430144270056
0.78,Ideal,H,SI1,61.2,56.0,2781,5.92,5.99,3.64,3,5,3,3,6.150430144270056
0.72,Very Good,H,VS1,60.6,63.0,2782,5.83,5.76,3.51,3,3,3,5,6.150641348274635
0.53,Very Good,D,VVS2,57.5,64.0,2782,5.34,5.37,3.08,2,3,7,6,6.150641348274635
0.76,Ideal,G,VS2,61.3,56.0,2782,5.9,5.94,3.63,3,5,4,4,6.150641348274635
0.7,Good,E,VS1,57.2,62.0,2782,5.81,5.77,3.31,3,2,6,5,6.150641348274635
0.7,Premium,E,VS1,62.9,60.0,2782,5.62,5.54,3.51,3,4,6,5,6.150641348274635
0.75,Very Good,D,SI2,63.1,58.0,2782,5.78,5.73,3.63,3,3,7,2,6.150641348274635
0.72,Ideal,D,SI1,60.8,57.0,2782,5.76,5.75,3.5,3,5,7,3,6.150641348274635
0.72,Premium,D,SI1,62.7,59.0,2782,5.73,5.69,3.58,3,4,7,3,6.150641348274635
0.7,Premium,D,SI1,62.8,60.0,2782,5.68,5.66,3.56,3,4,7,3,6.150641348274635
0.84,Fair,G,SI1,55.1,67.0,2782,6.39,6.2,3.47,3,1,4,3,6.150641348274635
0.75,Premium,F,SI1,61.4,59.0,2782,5.88,5.85,3.6,3,4,5,3,6.150641348274635
0.52,Ideal,F,IF,62.2,55.0,2783,5.14,5.18,3.21,2,5,5,8,6.150852471284635
0.72,Very Good,F,VS2,63.0,54.0,2784,5.69,5.73,3.6,3,3,5,4,6.151063513360201
0.79,Very Good,H,VS1,63.7,56.0,2784,5.85,5.92,3.75,3,3,3,5,6.151063513360201
0.72,Very Good,F,VS2,63.6,58.0,2787,5.66,5.69,3.61,3,3,5,4,6.15169615458078
0.51,Ideal,F,VVS1,62.0,57.0,2787,5.11,5.15,3.18,2,5,5,7,6.15169615458078
0.64,Ideal,D,VS1,61.5,56.0,2787,5.54,5.55,3.41,2,5,7,5,6.15169615458078
0.7,Very Good,H,VVS1,60.5,60.0,2788,5.74,5.77,3.48,3,3,3,7,6.1519068735187625
0.83,Very Good,I,VS1,61.1,60.0,2788,6.07,6.1,3.72,3,3,2,5,6.1519068735187625
0.76,Ideal,I,VVS2,61.8,56.0,2788,5.85,5.87,3.62,3,5,2,6,6.1519068735187625
0.71,Good,D,VS2,63.3,56.0,2788,5.64,5.68,3.58,3,2,7,4,6.1519068735187625
0.77,Good,G,VS1,59.4,64.0,2788,5.97,5.92,3.53,3,2,4,5,6.1519068735187625
